schoolID,schoolName,schoolStatsURL,rdStatsURL
478222,UT Martin,https://stats.ncaa.org/team/695/14900,https://stats.ncaa.org/teams/478222
478227,VMI,https://stats.ncaa.org/team/741/14900,https://stats.ncaa.org/teams/478227
478225,Valparaiso,https://stats.ncaa.org/team/735/14900,https://stats.ncaa.org/teams/478225
478226,Villanova,https://stats.ncaa.org/team/739/14900,https://stats.ncaa.org/teams/478226
478228,Wagner,https://stats.ncaa.org/team/748/14900,https://stats.ncaa.org/teams/478228
478229,Weber St.,https://stats.ncaa.org/team/758/14900,https://stats.ncaa.org/teams/478229
478230,Western Caro.,https://stats.ncaa.org/team/769/14900,https://stats.ncaa.org/teams/478230
478231,Western Ill.,https://stats.ncaa.org/team/771/14900,https://stats.ncaa.org/teams/478231
478232,William & Mary,https://stats.ncaa.org/team/786/14900,https://stats.ncaa.org/teams/478232
478242,Wofford,https://stats.ncaa.org/team/2915/14900,https://stats.ncaa.org/teams/478242
478233,Yale,https://stats.ncaa.org/team/813/14900,https://stats.ncaa.org/teams/478233
478234,Youngstown St.,https://stats.ncaa.org/team/817/14900,https://stats.ncaa.org/teams/478234
