schoolID,schoolName,schoolStatsURL,rdStatsURL
478059,New Mexico,https://stats.ncaa.org/team/473/14900,https://stats.ncaa.org/teams/478059
478058,New Mexico St.,https://stats.ncaa.org/team/472/14900,https://stats.ncaa.org/teams/478058
478053,North Carolina,https://stats.ncaa.org/team/457/14900,https://stats.ncaa.org/teams/478053
478061,North Texas,https://stats.ncaa.org/team/497/14900,https://stats.ncaa.org/teams/478061
478063,Northern Ill.,https://stats.ncaa.org/team/503/14900,https://stats.ncaa.org/teams/478063
478064,Northwestern,https://stats.ncaa.org/team/509/14900,https://stats.ncaa.org/teams/478064
478065,Notre Dame,https://stats.ncaa.org/team/513/14900,https://stats.ncaa.org/teams/478065
478067,Ohio,https://stats.ncaa.org/team/519/14900,https://stats.ncaa.org/teams/478067
478066,Ohio St.,https://stats.ncaa.org/team/518/14900,https://stats.ncaa.org/teams/478066
478069,Oklahoma,https://stats.ncaa.org/team/522/14900,https://stats.ncaa.org/teams/478069
478068,Oklahoma St.,https://stats.ncaa.org/team/521/14900,https://stats.ncaa.org/teams/478068
478070,Old Dominion,https://stats.ncaa.org/team/523/14900,https://stats.ncaa.org/teams/478070
478051,Ole Miss,https://stats.ncaa.org/team/433/14900,https://stats.ncaa.org/teams/478051
478072,Oregon,https://stats.ncaa.org/team/529/14900,https://stats.ncaa.org/teams/478072
478071,Oregon St.,https://stats.ncaa.org/team/528/14900,https://stats.ncaa.org/teams/478071
478073,Penn St.,https://stats.ncaa.org/team/539/14900,https://stats.ncaa.org/teams/478073
478074,Pittsburgh,https://stats.ncaa.org/team/545/14900,https://stats.ncaa.org/teams/478074
478075,Purdue,https://stats.ncaa.org/team/559/14900,https://stats.ncaa.org/teams/478075
478076,Rice,https://stats.ncaa.org/team/574/14900,https://stats.ncaa.org/teams/478076
478077,Rutgers,https://stats.ncaa.org/team/587/14900,https://stats.ncaa.org/teams/478077
478084,SMU,https://stats.ncaa.org/team/663/14900,https://stats.ncaa.org/teams/478084
478078,San Diego St.,https://stats.ncaa.org/team/626/14900,https://stats.ncaa.org/teams/478078
478079,San Jose St.,https://stats.ncaa.org/team/630/14900,https://stats.ncaa.org/teams/478079
478080,South Alabama,https://stats.ncaa.org/team/646/14900,https://stats.ncaa.org/teams/478080
478081,South Carolina,https://stats.ncaa.org/team/648/14900,https://stats.ncaa.org/teams/478081
478082,South Fla.,https://stats.ncaa.org/team/651/14900,https://stats.ncaa.org/teams/478082
478083,Southern California,https://stats.ncaa.org/team/657/14900,https://stats.ncaa.org/teams/478083
478085,Southern Miss.,https://stats.ncaa.org/team/664/14900,https://stats.ncaa.org/teams/478085
478088,Stanford,https://stats.ncaa.org/team/674/14900,https://stats.ncaa.org/teams/478088
478089,Syracuse,https://stats.ncaa.org/team/688/14900,https://stats.ncaa.org/teams/478089
