schoolID,game_sport_year_ctl_id,org_id,schoolName,schoolStatsURL,rdStatsURL,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-100,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85,1983-84,1982-83,1981-82,1980-81,1979-80,1978-79,1977-78,1976-77,1975-76,1974-75,1973-74,1972-73,1971-72,1970-71,1969-70,1968-69,1967-68,1966-67,1965-66,1964-65,1963-64,1962-63,1961-62,1960-61,1959-60,1958-59,1957-58,1956-57,1955-56,1954-55,1953-54,1952-53,1951-52,1950-51,1949-50,1948-49,1947-48,1946-47,1945-46,1944-45,1943-44,1942-43,1941-42,1940-41,1939-40,1938-39,1937-38,1936-37,1935-36,1934-35,1933-34,1932-33,1931-32,1930-31,1929-30,1928-29,1927-28,1926-27,1925-26,1924-25,1923-24,1922-23,1921-22,1920-21,1919-20,1918-19,1917-18,1916-17,1915-16,1914-15,1913-14,1912-13,1911-12,1910-11,1909-10,1908-09,1907-08,1906-07,1905-06,1904-05,1903-04,1902-03,1901-02,1900-01,1899-100,1898-99,1897-98,1896-97,1895-96,1894-95,1893-94,1892-93,1891-92,1890-91,1889-90,1888-89,1887-88,1886-87,1885-86,1884-85,1883-84,1882-83,1881-82,1880-81,1879-80,1878-79,1877-78,1876-77,1875-76,1874-75,1873-74,1872-73,1871-72,1870-71,1869-70
478003,14900,77,BYU,https://stats.ncaa.org/team/77/14900,https://stats.ncaa.org/teams/478003,478003,449796,113538,66592,19627,83565,62695,15962,137695,137009,405146,254576,404463,253904,136341,334271,135627,127239,360175,218316,217651,368094,134968,216996,134317,253254,176371,175720,367441,366789,366142,133667,133030,333632,365511,216367,252624,132405,252002,364895,131791,364283,175109,296984,131189,215764,363680,251412,130606,296405,174535,130034,403885,295834,250842,295266,215200,294709,173984,214652,214099,294161,129487,128944,333088,403345,402809,213562,293618,213016,250296,332548,402269,363145,293111,212516,173481,212011,401754,249779,128426,172971,401250,362641,249274,332045,172473,248776,292613,362146,248287,127937,292130,211536,361682,211081,361242,172040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477998,14900,47,Ball St.,https://stats.ncaa.org/team/47/14900,https://stats.ncaa.org/teams/477998,477998,449791,113533,66587,19622,83560,62690,15957,137688,136990,405127,254556,404443,253884,136321,334251,135606,127218,360154,218296,217631,368074,134947,216975,134296,253233,176350,175699,367420,366769,366122,133648,133012,333614,365493,216349,252606,132387,251984,364877,131773,364265,175091,296966,131171,215746,363662,251394,130589,296387,174517,130016,403868,295817,250825,295249,215183,294692,173967,214635,214082,294144,129470,128927,333071,403328,402792,213546,293602,213002,250282,332535,402256,363132,293098,212503,173468,211998,401741,249766,128413,172958,401237,362628,249261,332032,172460,248764,292601,362134,248275,127925,292118,211525,361672,211072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477999,14900,51,Baylor,https://stats.ncaa.org/team/51/14900,https://stats.ncaa.org/teams/477999,477999,449792,113534,66588,19623,83561,62691,15958,137690,136993,405130,254559,404446,253887,136324,334254,135609,127221,360157,218299,217634,368077,134950,216978,134299,253236,176353,175702,367423,366771,366124,133650,133014,333616,365495,216351,252608,132389,251986,364879,131775,364267,175093,296968,131173,215748,363664,251396,130591,296389,174519,130018,403870,295819,250827,295251,215185,294694,173969,214637,214084,294146,129472,128929,333073,403330,402794,213548,293604,213004,250284,332537,402258,363134,293100,212505,173470,212000,401743,249768,128415,172960,401239,362630,249263,332034,172462,248766,292603,362136,248277,127927,292120,211527,361674,211074,361235,172033,210658,360826,210265,369308,177490,139311,298580,298221,406466,138969,297887,138638,368977,255810,219447,255507,406162,138337,138040,219161,177211,405895,334905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478000,14900,66,Boise St.,https://stats.ncaa.org/team/66/14900,https://stats.ncaa.org/teams/478000,478000,449793,113535,66589,19624,83562,62692,15959,137692,137002,405139,254569,404456,253897,136334,334264,135619,127231,360167,218308,217643,368086,134959,216987,134308,253245,176362,175711,367432,366780,366133,133658,133021,333623,365502,216358,252615,132396,251993,364886,131782,364274,175100,296975,131180,215755,363671,251403,130598,296396,174526,130025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478001,14900,67,Boston College,https://stats.ncaa.org/team/67/14900,https://stats.ncaa.org/teams/478001,478001,449794,113536,66590,19625,83563,62693,15960,137693,137003,405140,254570,404457,253898,136335,334265,135620,127232,360168,218309,217644,368087,134960,216988,134309,253246,176363,175712,367433,366781,366134,133659,133022,333624,365503,216359,252616,132397,251994,364887,131783,364275,175101,296976,131181,215756,363672,251404,130599,296397,174527,130026,403877,295826,250834,295258,215192,294701,173976,214644,214091,294153,129479,128936,333080,403337,402801,213554,293610,213010,250290,332543,402264,363140,293106,212511,173476,212006,401749,249774,128421,172966,401245,362636,249269,332040,172468,248772,292609,362142,248283,127933,292126,211532,361678,211077,361238,172036,210661,360829,210268,369311,177493,139314,298583,298224,406469,138972,297890,138641,368980,255813,219450,255510,406165,138340,138043,219164,177214,405898,334908,368725,255256,297636,176982,218951,139726,,,,,,,,,,,,,,,,,,,,,,,,
478002,14900,71,Bowling Green,https://stats.ncaa.org/team/71/14900,https://stats.ncaa.org/teams/478002,478002,449795,113537,66591,19626,83564,62694,15961,137694,137006,405143,254573,404460,253901,136338,334268,135623,127235,360171,218312,217647,368090,134964,216992,134313,253250,176367,175716,367437,366785,366138,133663,133026,333628,365507,216363,252620,132401,251998,364891,131787,364279,175105,296980,131185,215760,363676,251408,130602,296400,174530,130029,403880,295829,250837,295261,215195,294704,173979,214647,214094,294156,129482,128939,333083,403340,402804,213557,293613,213013,250293,332546,402267,363143,293109,212514,173479,212009,401752,249777,128424,172969,401248,362639,249272,332043,172471,248775,292612,362145,248286,127936,292129,211535,361681,211080,361241,172039,210664,360832,210271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478004,14900,86,Buffalo,https://stats.ncaa.org/team/86/14900,https://stats.ncaa.org/teams/478004,478004,449797,113539,66593,19628,83566,62696,15963,137698,137016,405153,254583,404470,253911,136348,334278,135634,127246,360182,218323,217658,368100,134974,217002,134323,253260,176377,175726,367448,366796,366149,133674,133037,333639,365518,216374,252631,132412,252009,364901,131797,364289,175114,296989,131194,215769,363685,251417,130611,296410,174540,130039,403890,295839,250847,295271,215205,294714,173989,214657,214104,294165,129492,128949,333093,403350,402814,213567,293623,213021,250301,332553,402274,363149,293115,212520,173485,212015,401758,249783,128430,172975,401254,362645,249278,332049,172477,248780,292617,362150,248291,127941,292134,211540,361686,211085,361246,172044,210668,360836,210275,369317,177499,139320,298588,298229,406474,138977,297895,138646,368985,255818,219455,255515,406171,138346,138049,219169,177219,405903,334913,368730,255262,297642,176987,218956,,,,,,,,,,,,,,,,,,,,,,,,,
478006,14900,107,California,https://stats.ncaa.org/team/107/14900,https://stats.ncaa.org/teams/478006,478006,449799,113541,66595,19630,83568,62698,15965,137703,137023,405160,254590,404477,253918,136355,334286,135643,127255,360192,218333,217668,368110,134984,217013,134334,253271,176389,175739,367462,366810,366163,133688,133051,333653,365532,216388,252645,132427,252024,364916,131812,364304,175130,297005,131210,215785,363701,251433,130627,296426,174555,130054,403905,295854,250862,295284,215218,294727,174000,214668,214115,294176,129502,128958,333102,403358,402821,213574,293630,213028,250308,332559,402280,363155,293121,212526,173491,212021,401764,249789,128436,172981,401260,362651,249284,332055,172483,248786,292623,362156,248297,127947,292140,211545,361690,211089,361250,172048,210672,360839,210278,369320,177502,139323,298591,406173,138348,138051,219171,177221,405905,334915,368732,255264,297644,176989,218958,139732,219795,177856,256205,298937,335151,139668,256156,,,,,,,,,,,,,,,,,,,,,,,,,,
478009,14900,129,Central Mich.,https://stats.ncaa.org/team/129/14900,https://stats.ncaa.org/teams/478009,478009,449802,113544,66598,19633,83571,62701,15968,137709,137038,405175,254604,404490,253931,136368,334299,135658,127270,360207,218348,217683,368125,134999,217028,134349,253286,176404,175754,367477,366825,366178,133703,133066,333668,365547,216403,252660,132442,252039,364931,131827,364318,175144,297019,131224,215799,363715,251447,130641,296440,174568,130067,403918,295867,250874,295296,215230,294739,174012,214680,214127,294188,129514,128970,333114,403370,402833,213586,293642,213040,250321,332572,402294,363169,293134,212539,173504,212034,401778,249803,128450,172995,401274,362665,249298,332068,172496,248799,292635,362168,248309,127959,292152,211557,361702,211101,361262,172059,210683,360850,210289,369330,177510,139331,298599,406483,138986,297903,138654,368993,255826,219463,255522,406178,138353,138056,219175,177225,405909,334919,368736,255267,297649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478054,14900,458,Charlotte,https://stats.ncaa.org/team/458/14900,https://stats.ncaa.org/teams/478054,478054,449848,113590,66644,19678,83616,62873,332759,402480,363352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
