schoolID,game_sport_year_ctl_id,org_id,schoolName,schoolStatsURL,rdStatsURL,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-100,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85,1983-84,1982-83,1981-82,1980-81,1979-80,1978-79,1977-78,1976-77,1975-76,1974-75,1973-74,1972-73,1971-72,1970-71,1969-70,1968-69,1967-68,1966-67,1965-66,1964-65,1963-64,1962-63,1961-62,1960-61,1959-60,1958-59,1957-58,1956-57,1955-56,1954-55,1953-54,1952-53,1951-52,1950-51,1949-50,1948-49,1947-48,1946-47,1945-46,1944-45,1943-44,1942-43,1941-42,1940-41,1939-40,1938-39,1937-38,1936-37,1935-36,1934-35,1933-34,1932-33,1931-32,1930-31,1929-30,1928-29,1927-28,1926-27,1925-26,1924-25,1923-24,1922-23,1921-22,1920-21,1919-20,1918-19,1917-18,1916-17,1915-16,1914-15,1913-14,1912-13,1911-12,1910-11,1909-10,1908-09,1907-08,1906-07,1905-06,1904-05,1903-04,1902-03,1901-02,1900-01,1899-100,1898-99,1897-98,1896-97,1895-96,1894-95,1893-94,1892-93,1891-92,1890-91,1889-90,1888-89,1887-88,1886-87,1885-86,1884-85,1883-84,1882-83,1881-82,1880-81,1879-80,1878-79,1877-78,1876-77,1875-76,1874-75,1873-74,1872-73,1871-72,1870-71,1869-70
478243,14900,487,North Ala.,https://stats.ncaa.org/team/487/14900,https://stats.ncaa.org/teams/478243,478243,450120,113161,66215,19253,83192,62323,15596,16252,137262,405398,254828,404715,254156,136592,334524,135887,127501,360438,218578,217912,368354,135228,217256,134574,253511,176628,175977,367700,367048,366403,133928,133289,333891,365769,216622,252879,132660,252257,365148,132044,364533,175358,297233,131438,216013,363929,251655,130846,296644,174769,130268,404118,296067,251073,295499,215429,294937,174211,214880,214327,294386,129711,129166,333310,403567,403029,213782,293840,213238,250519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478189,14900,494,North Dakota,https://stats.ncaa.org/team/494/14900,https://stats.ncaa.org/teams/478189,478189,449982,113724,66778,19813,83750,62880,16143,16254,137269,405405,254835,404722,254163,136599,334531,135893,127507,360444,218584,217918,368360,135234,217262,134580,253517,176634,175983,367706,367054,366409,133934,133295,333897,365775,216628,252885,132666,252263,365154,132050,364539,175364,297239,131444,216019,363935,251661,130852,296650,174775,130274,404124,296073,251079,295505,215435,294943,174217,214886,214333,294392,129717,129172,333316,403573,403035,213788,293846,213244,250525,332774,402495,363367,293325,212227,401976,250002,128647,173191,401466,362856,249488,332257,172684,248987,292823,362354,248493,128142,292330,211731,361870,211269,361422,172217,210837,361005,210431,177650,139472,298740,298376,406619,139120,298035,138787,369126,255958,219595,255649,406303,138477,138181,219297,177343,406024,335028,368845,255374,297754,177087,219049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478188,14900,493,North Dakota St.,https://stats.ncaa.org/team/493/14900,https://stats.ncaa.org/teams/478188,478188,449981,113723,66777,19812,83749,62879,16142,137810,137268,405404,254834,404721,254162,136598,334530,135892,127506,360443,218583,217917,368359,135233,217261,134579,253516,176633,175982,367705,367053,366408,133933,133294,333896,365774,216627,252884,132665,252262,365153,132049,364538,175363,297238,131443,216018,363934,251660,130851,296649,174774,130273,404123,296072,251078,295504,215434,294942,174216,214885,214332,294391,129716,129171,333315,403572,403034,213787,293845,213243,250524,332773,402494,363366,293324,212725,173691,212226,401975,250001,128646,173190,401465,362855,249487,332256,172683,248986,292822,362353,248492,128141,292329,211730,361869,211268,361421,172216,210836,361004,210430,369468,177649,139471,298739,298375,406618,139119,298034,138786,369125,255957,219594,255648,406302,138476,138180,219296,177342,406023,335027,368844,255373,297753,177086,219048,,,,,,,,,,,,,,,,,,,,,,,,,
478190,14900,501,Northern Ariz.,https://stats.ncaa.org/team/501/14900,https://stats.ncaa.org/teams/478190,478190,449983,113725,66779,19814,83751,62881,16144,137813,137274,405411,254841,404728,254169,136605,334537,135899,127513,360450,218590,217924,368366,135240,217268,134586,253523,176640,175989,367712,367060,366415,133940,133301,333903,365781,216634,252891,132672,252269,365160,132056,364545,175370,297245,131450,216025,363941,251667,130858,296656,174781,130280,404130,296079,251085,295511,215441,294949,174223,214892,214339,294398,129722,129177,333321,403578,403040,213793,293851,213248,250529,332778,402499,363371,293329,212729,173695,212231,401980,250006,128651,173195,401470,362860,249492,332261,172688,248990,292826,362357,248496,128145,292333,211734,361873,211272,361425,172220,210840,361008,210434,369471,177653,139475,298743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478191,14900,502,Northern Colo.,https://stats.ncaa.org/team/502/14900,https://stats.ncaa.org/teams/478191,478191,449984,113726,66780,19815,83752,62882,16145,16590,137275,405412,254842,404729,254170,136606,334538,135900,127514,360451,218591,217925,368367,135241,217269,134587,253524,176641,175990,367713,367061,366416,133941,133302,333904,365782,216635,252892,132673,252270,365161,132057,364546,175371,297246,131451,216026,363942,251668,130859,296657,174782,130281,404131,296080,251086,295512,215442,294950,174224,214893,214340,294399,129723,129178,333322,403579,403041,213794,293852,213249,250530,332779,402500,363372,293330,212730,173696,212232,401981,250007,128652,173196,401471,362861,249493,332262,172689,248991,292827,362358,248497,128146,292334,211735,361874,211273,361426,172221,210841,361009,210435,369472,177654,255651,406305,177344,406025,335029,255375,297755,177088,219050,139817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478193,14900,508,Northwestern St.,https://stats.ncaa.org/team/508/14900,https://stats.ncaa.org/teams/478193,478193,449986,113728,66782,19817,83754,62884,16147,137816,137280,405417,254847,404734,254175,136611,334543,135905,127519,360456,218596,217930,368372,135246,217274,134592,253529,176646,175995,367718,367066,366421,133946,133307,333909,365787,216640,252897,132678,252275,365166,132062,364551,175376,297251,131456,216031,363947,251673,130864,296662,174787,130286,404136,296085,251091,295517,215447,294955,174229,214898,214345,294404,129728,129183,333327,403584,403046,213799,293857,213254,250535,332784,402505,363377,293335,212735,173701,212237,401986,250012,128657,173201,401476,362866,249498,332267,172694,248996,292832,362363,248502,128151,292339,211740,361879,211278,361431,172226,210846,361014,210440,369477,177659,139480,298747,298382,406625,139125,298040,138792,369131,255963,219600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478194,14900,540,Penn,https://stats.ncaa.org/team/540/14900,https://stats.ncaa.org/teams/478194,478194,449987,113729,66783,19818,83755,62885,16149,137826,137301,405438,254867,404754,254194,136630,334562,135924,127538,360475,218615,217949,368391,135265,217293,134612,253549,176666,176015,367738,367086,366441,133966,133327,333929,365807,216660,252917,132698,252295,365186,132082,364571,175395,297270,131475,216050,363966,251692,130883,296681,174806,130305,404155,296104,251110,295536,215466,294974,174247,214916,214363,294422,129746,129201,333345,403602,403064,213817,293875,213273,250554,332803,402524,363396,293353,212753,173719,212255,402004,250030,128675,173219,401494,362884,249516,332285,172712,249014,292850,362381,248520,128169,292357,211758,361897,211296,361449,172244,210864,361032,210458,369494,177676,139497,298764,298399,406642,139142,298057,138809,369148,255980,219617,255671,406325,138498,138201,219316,177363,406043,335047,368862,255392,297772,177105,219063,139828,219880,177922,256261,298980,335184,139696,256177,219767,256136,299047,335248,335218,299018,177992,177978,219946,256308,,,,,,,
478195,14900,550,Portland St.,https://stats.ncaa.org/team/550/14900,https://stats.ncaa.org/teams/478195,478195,449988,113730,66784,19819,83756,62886,16150,137828,137305,405442,254871,404758,254198,136634,334566,135928,127542,360479,218619,217953,368395,135269,217297,134616,253553,176670,176019,367742,367090,366445,133970,133331,333933,365811,216664,252921,132702,252299,365190,132086,364576,175400,297275,131480,216055,363971,251697,130887,296685,174809,130308,404158,296107,251113,295539,215469,294977,174250,214919,214366,294426,129750,129205,333349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478196,14900,553,Prairie View,https://stats.ncaa.org/team/553/14900,https://stats.ncaa.org/teams/478196,478196,449989,113731,66785,19820,83757,62887,16151,137829,137306,405443,254872,404759,254199,136635,334567,135929,127543,360480,218620,217954,368396,135270,217298,134617,253554,176671,176020,367743,367091,366446,133971,133332,333934,365812,216665,252922,132703,252300,365191,132087,364577,175401,297276,131481,216056,363972,251698,130888,296686,174810,130309,404159,296108,251114,295540,215470,294978,174251,214920,214367,294427,129751,129206,333350,403606,403068,213820,293878,213276,250558,332808,402529,363401,293356,212756,173722,212258,402007,250033,128678,173222,401497,362887,249519,332288,172715,249017,292853,362384,248523,128172,292360,211761,361900,211299,361452,172247,210867,361035,210461,369497,177679,139500,298767,298402,406645,139145,298060,138812,369151,255983,219620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478239,14900,1320,Presbyterian,https://stats.ncaa.org/team/1320/14900,https://stats.ncaa.org/teams/478239,478239,450032,113774,66828,19863,83799,62929,16192,16311,137525,405662,255091,404978,254419,136853,334787,136155,127770,360705,218845,218176,368615,135488,217516,134834,253772,176889,176240,367963,367310,366665,134190,133547,334147,366025,216876,253132,132913,252509,365398,132291,364781,175602,297476,131681,216256,364172,251894,131082,296880,175003,130502,404352,296298,251305,295729,215659,295164,174434,215103,214553,294610,129933,129389,333530,403786,403247,214000,294060,213458,250739,332989,402709,363577,293526,212926,173892,212430,402179,250204,128848,173392,401665,363055,249688,332456,172883,249186,293023,362553,248690,128338,292527,211925,362060,211455,361604,172394,211010,361174,210600,369633,177812,139629,298897,298530,406771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
